id,title,description,availability,condition,price,link,image_link,brand
p01,Manteau Laine Architectural,"Confectionné en pure laine vierge italienne, ce manteau structuré explore l'équilibre entre rigueur architecturale et tombé fluide. Doublure en cupro, finitions cousues main.",in stock,new,1240.00 CAD,https://ld-store.netlify.app/produit/manteau-laine/,https://ld-store.netlify.app/assets/products/imported/new-001.png,L&D
p02,Mule Architecturale,"Une silhouette épurée taillée dans un cuir nappa souple. Talon sculpté en bois de chêne, semelle en cuir véritable.",in stock,new,780.00 CAD,https://ld-store.netlify.app/produit/mule-architecturale/,https://ld-store.netlify.app/assets/products/imported/new-007.png,L&D
p03,Robe oversize à carreaux Mia,"Robe oversize à carreaux, coupe confortable et finitions soignées. Une pièce signature de la collection L&D.",in stock,new,74.99 CAD,https://ld-store.netlify.app/produit/sac-box-espresso/,https://ld-store.netlify.app/assets/products/imported/new-013.png,L&D
p04,Blouse Soie Drapée,"Soie sauvage drapée à la main sur le buste. Coupe asymétrique, ourlet roulotté.",in stock,new,550.00 CAD,https://ld-store.netlify.app/produit/blouse-soie/,https://ld-store.netlify.app/assets/products/imported/new-019.png,L&D
p05,Jupe Midi Asymétrique,"Cuir d'agneau souple, coupe asymétrique avec ourlet en pointe. Fermeture à glissière dissimulée.",in stock,new,890.00 CAD,https://ld-store.netlify.app/produit/jupe-asymetrique/,https://ld-store.netlify.app/assets/products/imported/new-025.png,L&D
p06,Sac à main Tom & Eva,"Sac à main structuré Tom & Eva, finitions premium et silhouette élégante pour le quotidien.",in stock,new,99.99 CAD,https://ld-store.netlify.app/produit/sneaker-studio/,https://ld-store.netlify.app/assets/products/imported/new-031.png,L&D
p07,Manchette Or Sculpturale,Plaqué or 18 carats sur laiton recyclé. Forme sculpturale moulée à la cire perdue.,in stock,new,890.00 CAD,https://ld-store.netlify.app/produit/manchette-or/,https://ld-store.netlify.app/assets/products/imported/new-037.png,L&D
p08,Escarpins élégants à bout pointu,"Escarpins à bout pointu, ligne élégante et finition soignée pour les occasions comme le quotidien.",in stock,new,69.99 CAD,https://ld-store.netlify.app/produit/blazer-lin/,https://ld-store.netlify.app/assets/products/imported/new-043.png,L&D
p09,Robe Coupe Biais Soie,"Soie satin coupée dans le biais. Bretelles fines réglables, dos nu.",in stock,new,1540.00 CAD,https://ld-store.netlify.app/produit/robe-biais/,https://ld-store.netlify.app/assets/products/imported/new-049.png,L&D
p10,NUIT — Collection Privée Absolue,"Eau de parfum NUIT : une composition sophistiquée, présentée dans un flacon cylindrique et son coffret noir Collection Privée Absolue.",in stock,new,925.00 CAD,https://ld-store.netlify.app/produit/parfum-nuit-collection-privee/,https://ld-store.netlify.app/assets/products/nuit-collection-privee-1.png,L&D
p11,INVICTUS — Collection Privée Absolue,"Eau de parfum INVICTUS : jus lumineux bleu translucide, flacon cylindrique et coffret noir Collection Privée Absolue.",in stock,new,925.00 CAD,https://ld-store.netlify.app/produit/parfum-invictus-collection-privee/,https://ld-store.netlify.app/assets/products/invictus-collection-privee-1.png,L&D
p12,Intense Peach — Eau de parfum,"Eau de parfum Intense Peach — coffret orange brillant, vaporisateur 80 ml. Une signature fruitée et lumineuse.",in stock,new,895.00 CAD,https://ld-store.netlify.app/produit/parfum-intense-peach/,https://ld-store.netlify.app/assets/products/intense-peach-edp-1.png,L&D
p13,FABULOUS LIFE — Collection Privée Absolue,"Eau de parfum FABULOUS LIFE par Fragrance World — coffret noir laqué, plaque argentée, vaporisateur.",in stock,new,925.00 CAD,https://ld-store.netlify.app/produit/parfum-fabulous-life/,https://ld-store.netlify.app/assets/products/fabulous-life-edp-1.png,L&D
p14,SEXY VANILLA — Collection Privée Absolue,"Eau de parfum SEXY VANILLA par Fragrance World — coffret or à motif diamant, vaporisateur natural spray 80 ml.",in stock,new,925.00 CAD,https://ld-store.netlify.app/produit/parfum-sexy-vanilla-fragrance-world/,https://ld-store.netlify.app/assets/products/sexy-vanilla-edp-1.png,L&D
p15,AQUA INTENSE — Collection Privée Paris,"Eau de parfum AQUA INTENSE — flacon cylindrique noir laqué, étiquette Collection Privée Paris avec finition dorée.",in stock,new,925.00 CAD,https://ld-store.netlify.app/produit/parfum-aqua-intense-collection-privee/,https://ld-store.netlify.app/assets/products/aqua-intense-edp-1.png,L&D
p16,Mule Bijou Cristal — Stephan Paris,Mule à talon aiguille en finition dorée : bride en mesh champagne piquée de cristaux et grand nœud serti de strass.,in stock,new,850.00 CAD,https://ld-store.netlify.app/produit/mule-bijou-stephan-paris/,https://ld-store.netlify.app/assets/products/imported/new-091.png,L&D
p17,Nouveautés Signature I,Sélection capsule de nouveautés premium.,in stock,new,129.99 CAD,https://ld-store.netlify.app/produit/nouveautes-signature-1/,https://ld-store.netlify.app/assets/products/imported/new-097.png,L&D
p18,Nouveautés Signature II,"Édition limitée, finitions soignées.",in stock,new,109.99 CAD,https://ld-store.netlify.app/produit/nouveautes-signature-2/,https://ld-store.netlify.app/assets/products/imported/new-102.png,L&D
p19,Nouveautés Signature III,"Accessoires en série courte, photo-set exclusif.",in stock,new,89.99 CAD,https://ld-store.netlify.app/produit/nouveautes-signature-3/,https://ld-store.netlify.app/assets/products/imported/new-107.png,L&D